image_name,gridline_id,x1_roi,y1_roi,x2_roi,y2_roi,edge1_x,edge1_y,edge2_x,edge2_y,width_px,width_um
CMd_0.23_2mths_Image1,31,4655.3349609375,449.4989013671875,4600.6650390625,946.5010986328125,4632.04557421875,661.2218374023437,4621.00225,761.6162812499999,101,400.84373752949244
CMd_0.23_2mths_Image1,32,6739.80322265625,809.3931884765625,6516.19677734375,1256.6068115234375,6636.04983203125,1016.9003095703125,6596.247884765625,1096.5043344726562,89,353.21865606075767
CMd_0.23_2mths_Image1,33,6786.34326171875,839.9031982421875,6669.65673828125,1326.0968017578125,6734.5344453125,1055.773158203125,6721.232181640625,1111.1992290039063,57,226.21873409747238
CMd_0.23_2mths_Image1,34,6842.97314453125,857.4487915039062,6813.02685546875,1356.55126953125,6829.257744140625,1086.0377264404297,6826.20322265625,1136.9461791992187,51,202.40627582770378
CMd_0.23_2mths_Image1,35,6960.22900390625,865.0861206054688,6895.77099609375,1360.9139404296875,6930.449404296875,1094.1585733642578,6923.8746875,1144.733010986328,51,202.4062749699646
CMd_0.23_2mths_Image1,36,7045.45751953125,876.6102294921875,7010.54248046875,1375.3897705078125,7029.3966015625,1106.048818359375,7025.835267578125,1156.9243315429687,51,202.40628663086994
CMd_0.23_2mths_Image1,37,7169.89892578125,886.5360107421875,7086.10107421875,1379.4639892578125,7132.022296875,1109.33945703125,7121.463767578125,1171.4483823242188,63,250.03128596948866
CMd_0.23_2mths_Image1,38,7250.40966796875,901.0064086914062,7205.59033203125,1398.99365234375,7229.61349609375,1132.0724897460937,7222.44240234375,1211.7504487304686,80,317.50004299860126
CMd_0.23_2mths_Image1,39,7360.22900390625,911.0861206054688,7295.77099609375,1406.9139404296875,7329.80482421875,1145.1168515625,7322.843359375,1198.6662561035157,54,214.31252643878605
CMd_0.23_2mths_Image1,40,7437.9921875,922.1997680664062,7418.0078125,1421.80029296875,7428.91928125,1149.0184063720703,7426.4811875,1209.9696704101561,61,242.09377891898666
CMd_0.23_2mths_Image1,41,7586.34326171875,932.9031982421875,7469.65673828125,1419.0968017578125,7532.6674609375,1156.552255859375,7515.8646015625,1226.564134765625,72,285.7499799125967
CMd_0.23_2mths_Image1,42,7571.962890625,956.3612060546875,7684.037109375,1443.6387939453125,7623.7411796875,1181.4834516601563,7636.9659375,1238.98220703125,59,234.15628660748357
